Brand,Phone,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
alcatel409,1,False,False,2018.0,July,134.0,137.6,65.7,9.8,5.0,71.4,480.0,960.0,18:9,215.0,Android 8.1 Oreo ,4.0
alcatel409,1 (2021),False,False,2021.0,June 25,134.0,137.6,65.7,9.8,5.0,71.4,480.0,960.0,18:9,215.0,Android 11 ,4.0
alcatel409,10.16G,True,False,2015.0,,63.0,108.5,45.0,12.6,1.8,20.9,128.0,160.0,,,,
alcatel409,1B (2020),False,False,2020.0,January,168.0,146.1,71.6,9.9,5.5,74.6,720.0,1440.0,18:9,293.0,Android 10 ,4.0
alcatel409,1B (2022),False,False,2022.0,May 31,172.0,146.7,71.9,10.0,5.5,74.0,720.0,1440.0,18:9,293.0,Android 11 ,4.0
alcatel409,1L (2021),False,False,2021.0,January 12,179.0,155.9,74.5,9.9,6.1,78.6,720.0,1560.0,5:9,282.0,Android 11 ,4.0
alcatel409,1L Pro (2021),False,False,2021.0,June 25,190.0,156.4,74.8,9.7,6.1,78.1,720.0,1560.0,5:9,282.0,Android 11 ,8.0
alcatel409,1S (2020),False,False,2020.0,January,165.0,158.7,74.6,8.5,6.22,81.6,720.0,1520.0,19:9,270.0,Android 10,8.0
alcatel409,1S (2021),False,False,2021.0,January 12,190.0,165.6,75.6,8.8,6.52,82.0,720.0,1600.0,20:9,269.0,Android 11,8.0
alcatel409,1SE (2020),False,False,2020.0,October 28,175.0,159.2,75.2,8.7,6.22,80.7,720.0,1520.0,19:9,270.0,Android 10,8.0
alcatel409,1T 10,False,True,2018.0,February,415.0,255.0,155.0,9.4,10.1,74.8,1280.0,800.0,16:10,149.0,Android 8.1 ,4.0
alcatel409,1T 7,False,True,2018.0,February,245.0,189.5,111.0,9.2,7.0,65.6,600.0,1024.0,16:9,170.0,Android 8.1 ,4.0
alcatel409,1V (2020),False,False,2020.0,January,160.0,158.7,74.8,8.9,6.22,81.3,720.0,1520.0,19:9,270.0,Android 10,8.0
alcatel409,1V (2021),False,False,2021.0,February,190.0,165.2,75.5,8.9,6.52,82.3,720.0,1600.0,20:9,269.0,Android 11 ,4.0
alcatel409,1c (2019),False,False,2019.0,January,148.0,136.6,65.3,10.0,5.0,72.3,480.0,960.0,18:9,215.0,Android 8.1 Oreo ,4.0
alcatel409,1s,False,False,2019.0,February,146.0,147.8,70.7,8.6,5.5,74.7,720.0,1440.0,18:9,293.0,Android 9.0 ,8.0
alcatel409,1v (2019),False,False,2019.0,September,153.2,149.1,72.2,8.9,5.5,72.5,480.0,960.0,18:9,195.0,Android 9.0 Pie ,8.0
alcatel409,1x,False,False,2018.0,February,151.0,147.5,70.6,9.1,5.3,69.6,480.0,960.0,18:9,203.0,Android 8.1 ,4.0
