brand_alcatel,brand_apple,brand_asus,brand_blu,brand_htc,brand_huawei,brand_infinix,brand_lenovo,brand_lg,brand_nokia,brand_samsung,brand_sony,brand_xiaomi,brand_zte,Status_Available,Status_Coming,Status_Discontinued,SIM_Micro-SIM,SIM_Mini-SIM,SIM_Nano-SIM,SIM_eSIM,2G,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Size,ppi,body ratio,battery_capacity,Price,CPU,ratio,pixel,Loudspeaker,3.5mm jack,RAM,Storage,Color_count,Sensors_count,Bluetooth_version,OS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2012,119.1,127.8,68.8,9.1,4.5,245.0,63.5,2150.0,170.0,2.0,1.7777777777777777,518400.0,1,1,1.0,4.0,2,3,3.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2013,145.0,143.5,72.8,8.9,5.0,441.0,66.0,2400.0,730.0,4.0,1.7777777777777777,2073600.0,1,1,2.0,16.0,2,4,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2021,201.0,166.5,77.3,9.3,6.55,280.0,91.9,5000.0,180.0,8.0,1.7777777777777777,1440000.0,1,1,6.0,128.0,2,3,5.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2015,110.0,121.3,64.2,11.6,4.0,233.0,58.5,1400.0,50.0,2.0,1.6666666666666667,384000.0,1,1,0.5,4.0,2,1,4.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2015,185.0,158.9,78.8,12.0,5.5,401.0,66.6,3000.0,250.0,4.0,1.7777777777777777,2073600.0,1,1,4.0,32.0,2,4,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,202.0,163.1,75.9,8.6,6.67,446.0,86.7,5000.0,386.6,8.0,2.2222222222222223,3308640.0,0,0,8.0,128.0,3,7,5.3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2018,186.0,160.2,75.7,7.9,6.0,411.0,75.3,3500.0,230.0,8.0,0.5555555555555556,2397600.0,1,1,3.0,32.0,4,5,4.2,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,160.0,158.7,74.8,8.9,6.22,270.0,81.3,4000.0,80.0,8.0,2.111111111111111,1094400.0,1,1,2.0,32.0,4,3,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2018,172.0,148.8,75.8,8.2,5.5,403.0,73.2,3000.0,220.0,8.0,1.7777777777777777,2073600.0,1,1,3.0,32.0,3,5,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2016,129.0,145.0,71.0,8.6,5.0,441.0,66.9,2700.0,210.0,8.0,1.7777777777777777,2073600.0,1,1,2.0,16.0,2,3,4.0,0.0
