iter	Passed	Remaining
0	194	38794
1	251	24936
2	346	22749
3	402	19705
4	452	17632
5	502	16233
6	552	15225
7	603	14494
8	659	14006
9	713	13552
10	763	13118
11	816	12787
12	865	12452
13	919	12217
14	972	11991
15	1023	11771
16	1078	11605
17	1143	11564
18	1213	11564
19	1305	11745
20	1401	11946
21	1472	11916
22	1528	11764
23	1582	11605
24	1632	11426
25	1685	11277
26	1735	11121
27	1780	10937
28	1829	10787
29	1878	10647
30	1930	10524
31	1996	10481
32	2048	10367
33	2103	10271
34	2159	10181
35	2214	10088
36	2269	9998
37	2323	9905
38	2384	9844
39	2440	9761
40	2486	9643
41	2534	9534
42	2586	9444
43	2641	9366
44	2690	9266
45	2736	9162
46	2782	9057
47	2833	8972
48	2881	8878
49	2927	8783
50	2974	8691
51	3020	8596
52	3068	8511
53	3129	8461
54	3176	8374
55	3221	8283
56	3267	8196
57	3314	8114
58	3373	8061
59	3427	7997
60	3485	7943
61	3537	7872
62	3584	7794
63	3633	7721
64	3680	7643
65	3726	7566
66	3777	7499
67	3830	7436
68	3878	7362
69	3926	7292
70	3974	7221
71	4024	7155
72	4072	7084
73	4118	7013
74	4167	6945
75	4217	6880
76	4270	6821
77	4320	6757
78	4367	6688
79	4418	6627
80	4472	6570
81	4519	6504
82	4570	6442
83	4618	6378
84	4665	6312
85	4711	6245
86	4758	6180
87	4805	6116
88	4854	6054
89	4901	5990
90	4951	5930
91	4997	5867
92	5043	5802
93	5092	5742
94	5147	5689
95	5193	5626
96	5240	5564
97	5290	5506
98	5339	5447
99	5392	5392
100	5439	5331
101	5485	5270
102	5529	5207
103	5574	5145
104	5623	5088
105	5670	5028
106	5715	4967
107	5761	4907
108	5810	4850
109	5861	4796
110	5910	4739
111	5958	4681
112	6004	4622
113	6050	4564
114	6096	4505
115	6147	4451
116	6203	4400
117	6250	4343
118	6300	4288
119	6347	4231
120	6394	4174
121	6449	4123
122	6499	4068
123	6549	4014
124	6595	3957
125	6642	3901
126	6695	3848
127	6741	3792
128	6788	3736
129	6835	3680
130	6882	3625
131	6936	3573
132	6992	3522
133	7039	3467
134	7085	3411
135	7133	3356
136	7182	3303
137	7230	3248
138	7279	3194
139	7327	3140
140	7375	3086
141	7425	3032
142	7473	2978
143	7518	2923
144	7563	2869
145	7608	2814
146	7653	2759
147	7705	2707
148	7750	2652
149	7801	2600
150	7854	2548
151	7908	2497
152	7962	2445
153	8016	2394
154	8065	2341
155	8113	2288
156	8160	2235
157	8215	2183
158	8267	2131
159	8317	2079
160	8362	2025
161	8409	1972
162	8466	1921
163	8517	1869
164	8561	1816
165	8610	1763
166	8657	1710
167	8709	1658
168	8761	1607
169	8809	1554
170	8855	1501
171	8902	1449
172	8954	1397
173	9007	1345
174	9054	1293
175	9104	1241
176	9150	1189
177	9201	1137
178	9255	1085
179	9312	1034
180	9365	983
181	9413	930
182	9460	878
183	9510	826
184	9566	775
185	9616	723
186	9664	671
187	9715	620
188	9764	568
189	9821	516
190	9869	465
191	9918	413
192	9966	361
193	10015	309
194	10062	258
195	10118	206
196	10172	154
197	10228	103
198	10316	51
199	10367	0
