Device,BatterymAh,price_prep,Chipset,GPU,display_type_prep,Brand,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount,main_camera_configuration,selfie_camera_configuration,has_loudspeaker,has_jack,WLAN,NFC,bluetooth_version
1,2000,60 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,TFT,alcatel409,False,False,2018.0,July,134.0,137.6,65.7,9.8,5.0,71.4,480.0,960.0,18:9,215.0,Android 8.1 Oreo ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1 (2021),2000,60 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,TFT,alcatel409,False,False,2021.0,June 25,134.0,137.6,65.7,9.8,5.0,71.4,480.0,960.0,18:9,215.0,Android 11 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1 Plus,2500,80 EUR,Mediatek MT6739WW (28 nm),PowerVR GE8100,IPS,Nokia576,False,False,2019.0,February 24,138.4,145.0,70.4,8.6,5.45,75.1,480.0,960.0,18:9,197.0,Android 9.0 Pie ,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,False,4.2
1.3,3000,170 EUR,Qualcomm QM215 Snapdragon 215 (28 nm),Adreno 308,IPS,Nokia576,False,False,2020.0,March 19,155.0,147.3,71.2,9.4,5.71,77.6,720.0,1520.0,19:9,295.0,Android 10 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
1.4,4000,90 EUR,Qualcomm QM215 Snapdragon 215 (28 nm),Adreno 308,IPS,Nokia576,False,False,2021.0,February 03,178.0,166.4,76.7,8.7,6.52,80.4,720.0,1600.0,20:9,269.0,Android 10 ,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
10,3000,300 EUR,Qualcomm MSM8996 Snapdragon 820 (14 nm),Adreno 530,Super,HTC287,False,False,2016.0,"April 12. Released 2016, April 12",161.0,145.9,71.9,9.0,5.2,71.1,1440.0,2560.0,16:9,565.0,Android 6.0.1 ,4.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
10 Lifestyle,3000,250 EUR,Qualcomm MSM8976 Snapdragon 652 (28 nm),Adreno 510,Super,HTC287,False,False,2016.0,"April. Released 2016, June",161.0,145.9,71.9,9.0,5.2,71.1,1440.0,2560.0,16:9,565.0,Android 6.0.1 ,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
10 evo,3200,230 EUR,Qualcomm MSM8994 Snapdragon 810 (20 nm),Adreno 430,Super,HTC287,False,False,2016.0,"November. Released 2016, November",174.0,153.6,77.3,8.1,5.5,70.2,1440.0,2560.0,16:9,534.0,Android 7.0 ,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.1
11 Lite 5G NE,4250,999,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Adreno 642L,AMOLED,Xiaomi377,False,False,2021.0,September 15,158.0,160.5,75.7,6.8,6.55,85.3,1080.0,2400.0,20:9,402.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6 (Global),True,5.2
11T,5000,49,Mediatek Dimensity 1200 (6 nm),Mali-G77 MC9,AMOLED,Xiaomi377,False,False,2021.0,September 15,203.0,164.1,76.9,8.8,6.67,85.1,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
11T Pro,5000,999,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Adreno 660,AMOLED,Xiaomi377,False,False,2021.0,September 15,204.0,164.1,76.9,8.8,6.67,85.1,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
11i,5160,990,Mediatek Dimensity 920 (6 nm),Mali-G68 MC4,AMOLED,Xiaomi377,False,False,2022.0,January 06,207.0,163.7,76.2,8.3,6.67,86.1,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.2
11i HyperCharge 5G,4500,300 EUR,Mediatek Dimensity 920 (6 nm),Mali-G68 MC4,AMOLED,Xiaomi377,False,False,2022.0,January 06,204.0,163.7,76.2,8.3,6.67,86.1,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,False,5.2
12,4500,00,Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Adreno 730,AMOLED,Xiaomi377,False,False,2021.0,December 28,179.0,152.7,69.9,8.2,6.28,89.2,1080.0,2400.0,20:9,419.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6 or 6e (market dependent),True,5.2
12 Lite,4300,00,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Adreno 642L,AMOLED,Xiaomi377,False,False,2022.0,July 09,173.0,159.3,73.7,7.3,6.55,88.2,1080.0,2400.0,20:9,402.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
12 Pro,4600,999,Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Adreno 730,LTPO,Xiaomi377,False,False,2021.0,December 28,204.0,163.6,74.6,8.2,6.73,89.6,1440.0,3200.0,20:9,521.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6 or 6e (market dependent),True,5.2
