DeviceName,Sensor
1B (2022),Accelerometer
1L Pro (2021),Fingerprint (rear-mounted)
1L Pro (2021),accelerometer
1L Pro (2021),proximity
1 (2021),Accelerometer
1 (2021),proximity
3L (2021),Fingerprint (rear-mounted)
3L (2021),accelerometer
3L (2021),proximity
3L (2021),compass
1S (2021),Fingerprint (rear-mounted)
1S (2021),accelerometer
1S (2021),proximity
1S (2021),compass
1L (2021),Fingerprint (rear-mounted)
1L (2021),accelerometer
1L (2021),proximity
1V (2021),Fingerprint (rear-mounted)
1V (2021),accelerometer
1V (2021),proximity
1V (2021),compass
1SE (2020),Fingerprint (rear-mounted)
1SE (2020),accelerometer
1SE (2020),proximity
3T10 2020,Accelerometer
3T10 2020,proximity
3X (2020),Fingerprint (rear-mounted)
3X (2020),accelerometer
3X (2020),proximity
3X (2020),compass
3L (2020),Fingerprint (rear-mounted)
3L (2020),accelerometer
3L (2020),proximity
3L (2020),compass
1S (2020),Fingerprint (rear-mounted)
1S (2020),accelerometer
1S (2020),proximity
1S (2020),compass
1V (2020),Fingerprint (rear-mounted)
1V (2020),accelerometer
1V (2020),proximity
1B (2020),Accelerometer
1B (2020),proximity
3v (2019),Fingerprint (rear-mounted)
3v (2019),accelerometer
3v (2019),proximity
3v (2019),compass
3x (2019),Fingerprint (rear-mounted)
3x (2019),accelerometer
3x (2019),proximity
1v (2019),Fingerprint (under display
1v (2019),optical) - market dependant
1v (2019),accelerometer
1v (2019),proximity
3T 8,Accelerometer
Smart Tab 7,Accelerometer
1x (2019),Fingerprint (rear-mounted
1x (2019),5008T only)
1x (2019),accelerometer
1x (2019),proximity
1c (2019),Accelerometer
1c (2019),proximity
1,Accelerometer
1,proximity
Tetra,Accelerometer
Tetra,proximity
7,Fingerprint (rear-mounted)
7,accelerometer
7,gyro
7,proximity
7,compass
5,Fingerprint (rear-mounted)
5,accelerometer
5,proximity
5,compass
3v,Fingerprint (rear-mounted)
3v,accelerometer
3v,gyro
3v,proximity
3v,compass
3x (2018),Fingerprint (rear-mounted)
3x (2018),accelerometer
3x (2018),proximity
3x (2018),compass
3,Fingerprint (rear-mounted)
3,accelerometer
3,proximity
3,compass
1x,Fingerprint (rear-mounted
1x,5059A/J only)
1x,accelerometer
1x,proximity
3c,Fingerprint (rear-mounted)
3c,accelerometer
3c,proximity
1T 10,Accelerometer
1T 7,Accelerometer
Idol 5s,Fingerprint (rear-mounted)
Idol 5s,accelerometer
Idol 5s,gyro
Idol 5s,proximity
Idol 5s,compass
Idol 5,Fingerprint (rear-mounted)
Idol 5,accelerometer
Idol 5,gyro
Idol 5,proximity
Idol 5,compass
A7 XL,Fingerprint (rear-mounted)
A7 XL,accelerometer
A7 XL,proximity
A7 XL,compass
Idol 5s (USA),Fingerprint (rear-mounted)
Idol 5s (USA),accelerometer
Idol 5s (USA),gyro
Idol 5s (USA),proximity
Idol 5s (USA),compass
Shine Lite,Fingerprint (rear-mounted)
Shine Lite,accelerometer
Shine Lite,proximity
Shine Lite,compass
Fierce 4,Accelerometer
Fierce 4,proximity
Fierce 4,compass
X1,Accelerometer
X1,proximity
X1,compass
Pixi 4 (5),Accelerometer
Flash Plus 2,Fingerprint (front-mounted)
Flash Plus 2,accelerometer
Flash Plus 2,gyro
Flash Plus 2,proximity
Flash Plus 2,compass
Pop 7 LTE,
Idol 4s Windows,Fingerprint (rear-mounted)
Idol 4s Windows,accelerometer
Idol 4s Windows,gyro
Idol 4s Windows,proximity
Idol 4s Windows,compass
Idol 4s,Accelerometer
Idol 4s,gyro
Idol 4s,proximity
Idol 4s,compass
Idol 4,Accelerometer
Idol 4,gyro
Idol 4,proximity
Idol 4,compass
Pixi 4 (6) 3G,Accelerometer
Pixi 4 (6) 3G,proximity
Pop 3 (5.5),Accelerometer
Pop 3 (5),Accelerometer
Fierce XL,Accelerometer
Fierce XL,proximity
Fierce XL,compass
Flash 2,Accelerometer
Flash 2,proximity
Flash Plus,Accelerometer
Flash Plus,proximity
Flash Plus,compass
Pop Astro,Accelerometer
Pop Astro,proximity
Pop Astro,compass
Idol 3 (5.5),Accelerometer
Idol 3 (5.5),proximity
Idol 3 (5.5),compass
Idol 3 (4.7),Accelerometer
Idol 3 (4.7),proximity
Idol 3 (4.7),compass
Pixi 3 (8) 3G,Accelerometer
Pixi 3 (7) LTE,Accelerometer
Pixi 3 (7) 3G,Accelerometer
Pixi 3 (7),Accelerometer
