Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
alcatel409,1,True,True,True,False,False,False,2018,July,134.0,137.6,65.7,9.8,5.0,71.4,480,960,18:9,215,Android 8.1 Oreo ,4
alcatel409,1 (2021),True,True,True,False,False,False,2021,June 25,134.0,137.6,65.7,9.8,5.0,71.4,480,960,18:9,215,Android 11 ,4
alcatel409,10.16G,True,False,False,False,True,False,2015,None,63.0,108.5,45,12.6,1.8,20.9,128,160,None,None,None,None
alcatel409,1B (2020),True,True,True,False,False,False,2020,January,168.0,146.1,71.6,9.9,5.5,74.6,720,1440,18:9,293,Android 10 ,4
alcatel409,1B (2022),True,True,True,False,False,False,2022,May 31,172.0,146.7,71.9,10,5.5,74.0,720,1440,18:9,293,Android 11 ,4
alcatel409,1L (2021),True,True,True,False,False,False,2021,January 12,179.0,155.9,74.5,9.9,6.1,78.6,720,1560,5:9,282,Android 11 ,4
alcatel409,1L Pro (2021),True,True,True,False,False,False,2021,June 25,190.0,156.4,74.8,9.7,6.1,78.1,720,1560,5:9,282,Android 11 ,8
alcatel409,1S (2020),True,True,True,False,False,False,2020,January,165.0,158.7,74.6,8.5,6.22,81.6,720,1520,19:9,270,Android 10,8
alcatel409,1S (2021),True,True,True,False,False,False,2021,January 12,190.0,165.6,75.6,8.8,6.52,82.0,720,1600,20:9,269,Android 11,8
alcatel409,1SE (2020),True,True,True,False,False,False,2020,October 28,175.0,159.2,75.2,8.7,6.22,80.7,720,1520,19:9,270,Android 10,8
alcatel409,1T 10,False,False,False,False,False,True,2018,February,415.0,255,155,9.4,10.1,74.8,1280,800,16:10,149,Android 8.1 ,4
alcatel409,1T 7,False,False,False,False,False,True,2018,February,245.0,189.5,111,9.2,7.0,65.6,600,1024,16:9,170,Android 8.1 ,4
alcatel409,1V (2020),True,True,True,False,False,False,2020,January,160.0,158.7,74.8,8.9,6.22,81.3,720,1520,19:9,270,Android 10,8
alcatel409,1V (2021),True,True,True,False,False,False,2021,February,190.0,165.2,75.5,8.9,6.52,82.3,720,1600,20:9,269,Android 11 ,4
alcatel409,1c (2019),True,True,False,False,False,False,2019,January,148.0,136.6,65.3,10,5.0,72.3,480,960,18:9,215,Android 8.1 Oreo ,4
alcatel409,1s,True,True,True,False,False,False,2019,February,146.0,147.8,70.7,8.6,5.5,74.7,720,1440,18:9,293,Android 9.0 ,8
