Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Apple118,Watch 38mm (1st gen),False,False,False,False,False,False,2014,"September. Released 2015, May",40.0,38.6,33.3,10.5,None,None,340,272,None,290,watchOS 1.0,None
Apple118,Watch 42mm (1st gen),False,False,False,False,False,False,2014,"September. Released 2015, April",50.0,42,35.9,10.5,None,None,390,312,None,303,watchOS 1.0,None
Apple118,Watch Edition 38mm (1st gen),False,False,False,False,False,False,2014,"September. Released 2015, July",55.0,38.6,33.3,10.5,None,None,340,272,None,290,watchOS 1.0,None
Apple118,Watch Edition 42mm (1st gen),False,False,False,False,False,False,2014,"September. Released 2015, July",69.0,42,35.9,10.5,None,None,390,312,None,303,watchOS 1.0,None
Apple118,Watch Edition Series 2 38mm,False,False,False,False,False,False,2016,"September. Released 2016, December",39.6,39.2,34,11.8,None,None,340,272,None,290,watchOS 3.0,2
Apple118,Watch Edition Series 2 42mm,False,False,False,False,False,False,2016,"September. Released 2016, December",45.6,42.6,36.5,11.4,None,None,390,312,None,303,watchOS 3.0,2
Apple118,Watch Edition Series 3,True,True,True,False,False,False,2017,September,46.4,42.6,36.5,11.4,None,None,390,312,None,303,watchOS 4.0,2
Apple118,Watch Edition Series 5,True,True,True,False,False,False,2019,September,47.8,44,38,10.7,None,None,448,368,None,326,watchOS 6.0,2
Apple118,Watch Edition Series 6,True,True,True,False,False,False,2020,September 15,41.3,44,38,10.7,None,None,448,368,None,326,watchOS 7.0,2
Apple118,Watch Edition Series 7,True,True,True,False,False,False,2021,September 14,37.0,45,38,10.7,None,None,484,396,None,326,watchOS 8.0,2
Apple118,Watch SE,True,True,True,False,False,False,2020,September 15,36.4,44,38,10.4,None,None,448,368,None,326,watchOS 7.0,2
Apple118,Watch SE (2022),True,True,True,False,False,False,2022,September 07,33.0,44,38,10.7,None,None,448,368,None,326,watchOS 9.0,2
Apple118,Watch Series 1 Aluminum 38mm,False,False,False,False,False,False,2016,"September. Released 2016, December",25.0,38.6,33.3,10.5,None,None,340,272,None,290,watchOS 3.0,2
Apple118,Watch Series 1 Aluminum 42mm,False,False,False,False,False,False,2016,"September. Released 2016, December",30.0,42.5,36.4,10.5,None,None,390,312,None,303,watchOS 3.0,2
Apple118,Watch Series 2 38mm,False,False,False,False,False,False,2016,"September. Released 2016, December",41.9,38.6,33.3,11.4,None,None,340,272,None,290,watchOS 3.0,2
Apple118,Watch Series 2 42mm,False,False,False,False,False,False,2016,"September. Released 2016, December",52.4,42.5,36.4,11.4,None,None,390,312,None,303,watchOS 3.0,2
Apple118,Watch Series 2 Aluminum 38mm,False,False,False,False,False,False,2016,"September. Released 2016, December",28.2,38.6,33.3,11.4,None,None,340,272,None,290,watchOS 3.0,2
Apple118,Watch Series 2 Aluminum 42mm,False,False,False,False,False,False,2016,"September. Released 2016, December",34.2,42.5,36.4,11.4,None,None,390,312,None,303,watchOS 3.0,2
Apple118,Watch Series 3,True,True,True,False,False,False,2017,September,52.8,42.5,36.4,11.4,None,None,390,312,None,303,watchOS 4.0,2
Apple118,Watch Series 3 Aluminum,True,True,True,False,False,False,2017,September,34.9,42.5,36.4,11.4,None,None,390,312,None,303,watchOS 4.0,2
Apple118,Watch Series 4,True,True,True,False,False,False,2018,September,48.0,44,38,10.7,None,None,448,368,None,326,watchOS 5.0,2
Apple118,Watch Series 4 Aluminum,True,True,True,False,False,False,2018,September,36.7,44,38,10.7,None,None,448,368,None,326,watchOS 5.0,2
