Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Asus203,E600,True,True,False,False,False,False,2011,None,,122,60,13.5,4.0,62.2,None,None,None,None,Microsoft Windows Phone 7,None
Asus203,Fonepad,True,True,False,False,False,False,2013,"February. Released 2013, April",340.0,196.4,120.1,10.4,7.0,60.2,800,1280,16:10,216,Android 4.1 ,None
Asus203,Fonepad 7,True,True,True,False,False,False,2013,"September. Released 2013, October",328.0,196.8,120,10.5,7.0,60.2,800,1280,16:10,216,Android 4.2 ,2
Asus203,Fonepad 7 (2014),True,True,False,False,False,False,2014,"May. Released 2014, May",290.0,192,110,10.7,7.0,65.3,600,1024,16:9,170,Android 4.3 ,2
Asus203,Fonepad 7 FE171CG,True,True,False,False,False,False,2015,"January. Released 2015, January",280.0,196,110.6,7.9,7.0,63.6,600,1024,16:9,170,Android 4.4 ,2
Asus203,Fonepad 7 FE375CG,True,True,False,False,False,False,2014,"June. Released 2014, Q3",299.0,194.3,108.9,9.8,7.0,67.1,800,1280,16:10,216,Android 4.4.2 ,4
Asus203,Fonepad 7 FE375CL,True,True,True,False,False,False,2015,"February. Released 2015, March",299.0,194.3,108.9,9.8,7.0,67.1,800,1280,16:10,216,Android 5.0.1 ,4
Asus203,Fonepad 7 FE375CXG,True,True,False,False,False,False,2014,"September. Released 2014, September",299.0,194.3,108.9,9.8,7.0,67.1,800,1280,16:10,216,Android 4.4.2 ,4
Asus203,Fonepad 8 FE380CG,True,True,False,False,False,False,2014,"June. Released 2014, Q3",328.0,214,120,8.9,8.0,72.3,800,1280,16:10,189,Android 4.4.2 ,4
Asus203,Fonepad Note FHD6,True,True,False,False,False,False,2013,"June. Released 2013, November",210.0,164.8,88.8,10.3,6.0,67.8,1080,1920,16:9,367,Android 4.2 ,2
Asus203,Google Nexus 7,False,False,False,False,False,False,2012,"June. Released 2012, July",340.0,198.5,120,10.5,7.0,59.6,800,1280,16:10,216,Android 4.1.2 ,4
Asus203,Google Nexus 7 (2013),True,True,True,False,False,False,2013,"July. Released 2013, July",290.0,200,114,8.7,7.0,62.3,1200,1920,16:10,323,Android 4.3 ,4
Asus203,Google Nexus 7 Cellular,True,True,False,False,False,False,2012,"October. Released 2012, November",347.0,198.5,120,10.5,7.0,59.6,800,1280,16:10,216,Android 4.1 ,4
Asus203,J501,True,False,False,False,True,False,2007,February,100.0,103,48,16.6,2.2,30.3,240,320,4:3,182,None,None
Asus203,J502,True,False,False,False,True,True,2007,None,120.0,103.5,52.8,14.7,2.4,32.6,240,320,4:3,167,None,None
Asus203,Live G500TG,True,True,False,False,False,False,2016,"January. Released 2016, February",140.0,144.5,71,10,5.0,67.2,720,1280,16:9,294,Android 5.1 ,4
Asus203,M303,True,False,False,False,True,False,2006,March,87.0,83,43,22.9,1.8,28.6,96,96,None,None,None,None
Asus203,M307,True,False,False,False,True,False,2006,March,92.0,88,43,22.9,1.8,25.7,128,128,None,None,None,None
Asus203,M310,True,False,False,False,True,False,2006,June,110.0,98,48,21.5,2.2,31.9,128,128,None,None,None,None
Asus203,M530w,True,True,False,False,False,False,2007,"May. Released 2008, April",135.0,117,65,13.8,2.4,23.5,320,240,4:3,167,Microsoft Windows Mobile 6 Standard,None
Asus203,M930,True,True,False,False,False,False,2008,"February. Released 2008, September",158.0,113,54,18.7,2.6,31.5,None,None,None,None,Microsoft Windows Mobile 6 Standard,None
Asus203,Memo,False,False,False,False,False,False,2012,"January. Released 2012, September",389.0,199,117,12,7.0,61.0,800,1280,16:10,216,Android 4.0.1 ,2
Asus203,Memo Pad 10,False,False,False,False,False,False,2013,"September. Released 2013, November",522.0,256,174.6,10.5,10.1,66.2,800,1280,16:10,149,Android 4.2 ,4
Asus203,Memo Pad 10 ME103K,False,False,False,False,False,False,2014,"October. Released 2014, November",525.0,256,174,9.9,10.1,66.4,800,1280,16:10,149,Android 4.4.2 ,4
Asus203,Memo Pad 7 ME176C,False,False,False,False,False,False,2014,"June. Released 2014, August",295.0,189.3,113.7,9.6,7.0,66.0,800,1280,16:10,216,Android 4.4.2 ,4
Asus203,Memo Pad 7 ME572C,False,False,False,False,True,True,2014,"September. Released 2014, November",269.0,200,114.4,8.3,7.0,62.1,1200,1920,16:10,323,Android 4.4.2 ,4
Asus203,Memo Pad 7 ME572CL,True,True,True,False,False,False,2014,"September. Released 2014, November",279.0,200,114.4,8.3,7.0,62.1,1200,1920,16:10,323,Android 4.4.2 ,4
Asus203,Memo Pad 8 ME180A,False,False,False,False,False,False,2013,"September. Released 2013, November",350.0,212.4,127.4,10,8.0,68.6,800,1280,16:10,189,Android 4.2.2 ,4
Asus203,Memo Pad 8 ME181C,False,False,False,False,False,False,2014,"June. Released 2014, August",320.0,211.7,124.9,8.3,8.0,70.2,800,1280,16:10,189,Android 4.4.2 ,4
Asus203,Memo Pad 8 ME581CL,True,True,True,False,False,False,2014,"June. Released 2014, Q3",299.0,213,123,7.5,8.0,70.8,1200,1920,16:10,283,Android 4.4.2 ,4
Asus203,Memo Pad FHD10,False,False,False,False,False,False,2013,"June. Released 2013, August",580.0,264.6,182.4,9.5,10.0,60.1,1920,1200,16:10,226,Android 4.2 ,2
Asus203,Memo Pad HD7 16 GB,False,False,False,False,False,False,2013,"June. Released 2013, July",302.0,196.8,120.6,10.8,7.0,59.9,800,1280,16:10,216,Android 4.2 ,4
Asus203,Memo Pad HD7 8 GB,False,False,False,False,False,False,2013,"June. Released 2013, July",302.0,196.8,120.6,10.8,7.0,59.9,800,1280,16:10,216,Android 4.2 ,4
Asus203,Memo Pad ME172V,False,False,False,False,False,False,2013,"January. Released 2013, January",370.0,196.2,119.2,11.2,7.0,59.0,600,1024,16:9,170,Android 4.1 ,None
Asus203,Memo Pad Smart 10,False,False,False,False,False,False,2013,"February. Released 2013, May",580.0,263,180.8,9.9,10.1,62.2,1280,800,16:10,149,Android 4.1 ,4
Asus203,P320,True,False,False,False,True,True,2008,"March. Released 2008, April",105.0,99,55,13,2.6,38.4,240,320,4:3,154,Microsoft Windows Mobile 6.1 Professional,None
Asus203,P505,True,False,False,False,True,False,2006,March,165.0,108,60,22.5,2.8,37.5,240,320,4:3,143,Microsoft Windows Mobile OS for PocketPC,None
Asus203,P525,True,False,False,False,True,False,2006,March,160.0,116.8,59,19,2.8,35.2,240,320,4:3,143,Microsoft Windows Mobile 5.0 PocketPC,None
Asus203,P526,True,False,False,False,True,True,2007,March,115.0,110,58,15.4,2.6,32.8,240,320,4:3,154,Microsoft Windows Mobile 6.0 Professional,None
Asus203,P527,True,False,False,False,True,True,2007,"September. Released 2008, October",125.0,113,58,15.4,2.6,31.9,240,320,4:3,154,Microsoft Windows Mobile 6.0 Professional,None
Asus203,P535,True,False,False,False,True,False,2006,November,145.0,109,59,19,2.8,37.8,240,320,4:3,143,Microsoft Windows Mobile 5.0 PocketPC,None
Asus203,P550,True,True,False,False,False,False,2007,December. Released 2008,188.0,121,70,16.5,3.5,44.8,240,320,4:3,114,Microsoft Windows Mobile 6.0 Professional,None
Asus203,P552w,True,True,False,False,False,False,2008,September. Released 2008,105.0,102,60.5,14.5,2.8,39.3,240,320,4:3,143,Microsoft Windows Mobile 6.1 Professional,None
Asus203,P565,True,True,False,False,False,False,2008,"November. Released 2009, May",120.0,102,60.5,16,2.8,39.3,480,640,4:3,286,Microsoft Windows Mobile 6.1 Professional,None
Asus203,P735,True,True,False,False,False,False,2007,January,143.0,109,59,19,2.8,37.8,240,320,4:3,143,Microsoft Windows Mobile 5.0 PocketPC,None
Asus203,P750,True,True,False,False,False,False,2007,"October. Released 2008, April",130.0,113,58,17.4,2.6,31.9,240,320,4:3,154,Microsoft Windows Mobile 6.0 Professional,None
Asus203,P835,True,True,False,False,False,False,2009,"March. Released 2009, May",148.0,115,59,13.8,3.5,51.4,480,800,5:3,267,Microsoft Windows Mobile 6.1 Professional,None
Asus203,PadFone,True,True,False,False,False,False,2012,"February. Released 2012, June",129.0,128,65.4,9.2,4.3,60.9,540,960,16:9,256,Android 4.0 ,2
Asus203,PadFone 2,True,True,True,False,False,False,2012,"October. Released 2012, December",135.0,137.9,68.9,9,4.7,64.1,720,1280,16:9,312,Android 4.0 ,4
Asus203,PadFone E,True,True,False,False,False,False,2014,"January. Released 2014, March",126.0,139.6,69.7,9.1,4.7,62.6,720,1280,16:9,312,Android 4.3 ,4
Asus203,PadFone Infinity,True,True,True,False,False,False,2013,"February. Released 2013, April",141.0,143.5,72.8,8.9,5.0,66.0,1080,1920,16:9,441,Android 4.1.2 ,4
Asus203,PadFone Infinity 2,True,True,True,False,False,False,2013,"September. Released 2013, October",145.0,143.5,72.8,8.9,5.0,66.0,1080,1920,16:9,441,Android 4.2.2 ,4
Asus203,PadFone Infinity Lite,True,True,True,False,False,False,2014,"February. Released 2014, March",145.0,143.5,72.8,8.9,5.0,66.0,1080,1920,16:9,441,Android 4.1 ,4
Asus203,PadFone S,True,True,True,False,False,False,2014,"March. Released 2014, July",150.0,143.4,72.5,10,5.0,66.3,1080,1920,16:9,441,Android 4.4.2 ,4
Asus203,PadFone X,True,True,True,False,False,False,2014,"March. Released 2014, July",150.0,143.4,72.5,10,5.0,66.3,1080,1920,16:9,441,Android 4.4.2 ,4
Asus203,PadFone X mini,True,True,True,False,False,False,2014,"October. Released 2014, October",148.8,132.1,66.3,12.7,4.5,63.7,480,854,16:9,218,Android 4.4.2 ,2
Asus203,PadFone mini,True,True,False,False,False,False,2013,"December. Released 2014, December",105.0,129.3,65.6,8.7,4.3,60.1,540,960,16:9,256,Android 4.3 ,4
Asus203,PadFone mini (Intel),True,True,False,False,False,False,2014,"January. Released 2014, June",116.0,,,,4.0,59.6,480,800,5:3,233,Android 4.3 ,2
Asus203,PadFone mini 4G (Intel),True,True,True,False,False,False,2014,"September. Released 2014, September",150.0,,,,4.5,63.4,480,854,16:9,218,Android 4.4.2 ,2
Asus203,Pegasus,True,True,True,False,True,True,2014,"December. Released 2015, May",140.0,146,73,9.9,5.0,64.7,720,1280,16:9,294,Android 4.4 ,4
Asus203,Pegasus 2 Plus,True,True,True,False,False,False,2015,"July. Released 2015, December",156.0,151.8,75.5,8.1,5.5,72.8,1080,1920,16:9,401,Android 5.1.1 ,8
Asus203,ROG Phone 3,True,True,True,True,False,False,2020,July 22,240.0,171,78,9.9,6.59,79.9,1080,2340,5:9,391,Android 10,8
Asus203,ROG Phone 3 Strix,True,True,True,True,False,False,2020,July 22,240.0,171,78,9.9,6.59,79.9,1080,2340,5:9,391,Android 10,8
Asus203,ROG Phone 5,True,True,True,True,False,False,2021,March 10,238.0,172.8,77.3,10.3,6.78,82.0,1080,2448,None,395,Android 11,8
Asus203,ROG Phone 5 Pro,True,True,True,True,False,False,2021,March 10,238.0,172.8,77.3,10.3,6.78,82.0,1080,2448,None,395,Android 11,8
Asus203,ROG Phone 5 Ultimate,True,True,True,True,False,False,2021,March 10,238.0,172.8,77.3,10.3,6.78,82.0,1080,2448,None,395,Android 11,8
Asus203,ROG Phone 5s,True,True,True,True,False,False,2021,August 16,238.0,172.8,77.3,9.9,6.78,82.0,1080,2448,None,395,Android 11,8
Asus203,ROG Phone 5s Pro,True,True,True,True,False,False,2021,August 16,238.0,172.8,77.3,9.9,6.78,82.0,1080,2448,None,395,Android 11,8
Asus203,ROG Phone 6,True,True,True,True,False,False,2022,July 05,239.0,173,77,10.3,6.78,82.2,1080,2448,None,395,Android 12,8
Asus203,ROG Phone 6 Batman Edition,True,True,True,True,False,False,2022,September 19,239.0,173,77,10.4,6.78,82.2,1080,2448,None,395,Android 12,8
Asus203,ROG Phone 6 Diablo Immortal Edition,True,True,True,True,False,False,2022,November 17,239.0,173,77,10.4,6.78,82.2,1080,2448,None,395,Android 12,8
Asus203,ROG Phone 6 Pro,True,True,True,True,False,False,2022,July 05,239.0,173,77,10.3,6.78,82.2,1080,2448,None,395,Android 12,8
Asus203,ROG Phone 6D,True,True,True,True,False,False,2022,September 19,239.0,173,77,10.4,6.78,82.2,1080,2448,None,395,Android 12,8
Asus203,ROG Phone 6D Ultimate,True,True,True,True,False,False,2022,September 19,247.0,173,77,10.4,6.78,82.2,1080,2448,None,395,Android 12,8
Asus203,ROG Phone 7,True,True,True,True,False,False,2023,April 13,239.0,173,77,10.3,6.78,82.2,1080,2448,None,395,Android 13,8
Asus203,ROG Phone 7 Ultimate,True,True,True,True,False,False,2023,April 13,239.0,173,77,10.3,6.78,82.2,1080,2448,None,395,Android 13,8
Asus203,ROG Phone 8,True,True,True,True,False,False,2024,January 08,225.0,163.8,76.8,8.9,6.78,88.2,1080,2400,20:9,388,Android 14,8
Asus203,ROG Phone 8 Pro,True,True,True,True,False,False,2024,January 08,225.0,163.8,76.8,8.9,6.78,88.2,1080,2400,20:9,388,Android 14,8
Asus203,ROG Phone II ZS660KL,True,True,True,False,False,False,2019,July 22,240.0,171,77.6,9.5,6.59,80.3,1080,2340,5:9,391,Android 9.0 ,8
Asus203,ROG Phone ZS600KL,True,True,True,False,False,False,2018,June,200.0,158.8,76.2,8.3,6.0,76.8,1080,2160,18:9,402,Android 8.1 ,8
Asus203,Smartphone for Snapdragon Insiders,True,True,True,True,False,False,2021,July 08,210.0,173.2,77.3,9.6,6.78,81.8,1080,2400,None,395,Android 11,8
Asus203,Transformer Book Trio,False,False,False,False,False,False,2013,"September. Released 2013, September",,304.8,193,9.7,11.6,63.1,1080,1920,16:9,190,Android 4.2 ,None
Asus203,Transformer Pad Infinity 700,False,False,False,False,False,False,2012,"February. Released 2012, July",598.0,263,180.8,8.5,10.1,62.2,1920,1200,16:10,224,Android 4.0 ,4
