Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
HTC287,10,True,True,True,False,False,False,2016,"April 12. Released 2016, April 12",161.0,145.9,71.9,9,5.2,71.1,1440,2560,16:9,565,Android 6.0.1 ,4
HTC287,10 Lifestyle,True,True,True,False,False,False,2016,"April. Released 2016, June",161.0,145.9,71.9,9,5.2,71.1,1440,2560,16:9,565,Android 6.0.1 ,8
HTC287,10 evo,True,True,True,False,False,False,2016,"November. Released 2016, November",174.0,153.6,77.3,8.1,5.5,70.2,1440,2560,16:9,534,Android 7.0 ,8
HTC287,7 Mozart,True,True,False,False,False,False,2010,"October. Released 2010, October",130.0,119,60.2,11.9,3.7,54.4,480,800,5:3,252,Microsoft Windows Phone 7,None
HTC287,7 Pro,True,True,False,False,False,False,2010,"October. Released 2011, January",185.0,117.5,59,15.5,3.6,53.2,480,800,5:3,259,Microsoft Windows Phone 7,None
HTC287,7 Surround,True,True,False,False,False,False,2010,"October. Released 2010, November",165.0,119.7,61.5,13,3.8,55.8,480,800,5:3,246,Microsoft Windows Phone 7,None
HTC287,7 Trophy,True,True,False,False,False,False,2010,"October. Released 2010, October",140.0,118.5,61.5,12,3.8,56.4,480,800,5:3,246,Microsoft Windows Phone 7,None
HTC287,8XT,True,True,True,False,False,False,2013,"June. Released 2013, June",120.0,132.1,66,9.9,4.3,60.4,480,800,5:3,217,Microsoft Windows Phone 8,2
HTC287,A101,True,True,True,False,False,False,2022,July 04,530.0,241.5,160.3,8.4,10.1,76.4,1200,1920,16:10,224,Android 11,8
HTC287,A102,True,True,True,False,False,False,2023,July 13,533.0,257.9,162.5,7.9,11.0,82.2,1200,2000,5:3,212,Android 12,8
HTC287,A103,True,True,True,False,False,False,2023,July,440.0,244,162.6,8.5,10.1,74.6,800,1280,16:10,149,Android 13,4
HTC287,A103 Plus,True,True,True,False,False,False,2023,July 19,430.0,239.2,157.9,7.9,10.1,78.3,1200,1920,16:10,224,Android 13,8
