Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Huawei441,Activa 4G,True,False,True,False,False,False,2012,"June. Released 2012, June",140.0,122,61,10.7,3.5,49.0,320,480,3:2,165,Android 2.3.6 ,None
Huawei441,Ascend D quad,True,True,False,False,False,False,2012,"February. Released 2012, August",130.0,129,64.9,8.9,4.5,66.7,720,1280,16:9,326,Android 4.0 ,4
Huawei441,Ascend D quad XL,True,True,False,False,False,False,2012,"February. Released 2012, September",150.0,129,64,10.9,4.5,67.6,720,1280,16:9,326,Android 4.0 ,4
Huawei441,Ascend D1,True,True,False,False,False,False,2012,"February. Released 2012, July",132.0,129,64,8.9,4.5,67.6,720,1280,16:9,326,Android 4.0 ,2
Huawei441,Ascend D1 XL U9500E,True,True,False,False,False,False,2012,Q3,132.0,129.9,64.9,8.9,4.5,66.2,720,1280,16:9,326,Android 4.0 ,2
Huawei441,Ascend D2,True,True,False,False,False,False,2013,"January. Released 2013, March",170.0,140,71,9.4,5.0,69.3,1080,1920,16:9,441,Android 4.1 ,4
Huawei441,Ascend G300,True,True,False,False,False,False,2012,"February. Released 2012, May",140.0,122.5,63,10.5,4.0,59.0,480,800,5:3,233,Android 2.3 ,None
Huawei441,Ascend G312,True,True,False,False,False,False,2012,"Q3. Released 2012, Q4",140.0,122.5,62.5,10.5,4.0,59.5,480,800,5:3,233,Android 4.0 ,None
Huawei441,Ascend G330,True,True,False,False,False,False,2012,"August. Released 2012, October",130.0,122.5,62.6,11.2,4.0,59.4,480,800,5:3,233,Android 4.0 ,2
Huawei441,Ascend G330D U8825D,True,True,False,False,False,False,2012,"Q1. Released 2012, Q2",140.0,122.3,62.7,11.4,4.0,59.4,480,800,5:3,233,Android 4.0.4 ,2
Huawei441,Ascend G350,True,True,False,False,False,False,2013,"February. Released 2013, April",140.0,125.2,65.2,12,4.0,55.8,480,800,5:3,233,Android 4.1 ,2
Huawei441,Ascend G500,True,True,False,False,False,False,2012,"November. Released 2012, November",156.0,130,65,11,4.3,60.3,540,960,16:9,256,Android 4.0.4 ,None
Huawei441,Ascend G510,True,True,False,False,False,False,2013,"January. Released 2013, April",150.0,134,67,9.9,4.5,62.2,480,854,16:9,218,Android 4.1 ,2
Huawei441,Ascend G525,True,True,False,False,False,False,2013,None,155.0,134,66.8,9.9,4.5,62.4,540,960,16:9,245,Android 4.1 ,4
Huawei441,Ascend G526,True,True,True,False,False,False,2013,"February. Released 2013, July",150.0,134.5,67.5,9.9,4.5,61.5,540,960,16:9,245,Android 4.1 ,4
Huawei441,Ascend G535,True,True,True,False,False,False,2014,"Q3. Released 2014, Q3",145.0,131,65.3,7.9,4.5,65.3,540,960,16:9,245,Android 4.3 ,4
Huawei441,Ascend G6,True,True,False,False,False,False,2014,"February. Released 2014, May",115.0,130,65,7.5,4.5,66.1,540,960,16:9,245,Android 4.3 ,4
Huawei441,Ascend G6 4G,True,True,True,False,False,False,2014,"February. Released 2014, May",115.0,131.2,65.3,7.9,4.5,65.2,540,960,16:9,245,Android 4.3 ,4
Huawei441,Ascend G600,True,True,False,False,False,False,2012,"August. Released 2012, September",145.0,134,67.5,10.5,4.5,61.7,540,960,16:9,245,Android 4.0.4 ,2
Huawei441,Ascend G615,True,True,False,False,False,False,2013,"January. Released 2013, March",145.0,134,67.5,10.5,4.5,60.2,720,1280,16:9,330,Android 4.0 ,4
Huawei441,Ascend G620s,True,True,True,False,False,False,2014,"September. Released 2014, November",160.0,142.9,72,8.5,5.0,67.0,720,1280,16:9,294,Android 4.4.2 ,4
Huawei441,Ascend G628,True,True,True,False,False,False,2015,Q3,None,None,None,None,None,None,720,1280,16:9,294,Android 4.4.4 ,8
Huawei441,Ascend G630,True,True,False,False,False,False,2014,"March. Released 2014, March",160.0,143,71.7,7.8,5.0,67.2,720,1280,16:9,294,Android 4.3 ,4
Huawei441,Ascend G7,True,True,True,False,False,False,2014,"September. Released 2014, October",165.0,153.5,77.3,7.6,5.5,70.3,720,1280,16:9,267,Android 4.4.2 ,4
Huawei441,Ascend G700,True,True,False,False,False,False,2013,None,155.0,142.5,72.8,9,5.0,66.4,720,1280,16:9,294,Android 4.2 ,4
Huawei441,Ascend G730,True,True,False,False,False,False,2014,"February. Released 2014, April",180.0,149.5,78,9.6,5.5,71.5,540,960,16:9,200,Android 4.2 ,4
Huawei441,Ascend G740,True,True,True,False,False,False,2013,"October. Released 2013, November",150.0,139.5,71.5,9.3,5.0,69.1,720,1280,16:9,294,Android 4.1.2 ,2
Huawei441,Ascend GX1,True,True,True,False,False,False,2014,"December. Released 2014, December",173.0,161,84.5,9.2,6.0,72.9,720,1280,16:9,245,Android 4.4 ,4
Huawei441,Ascend II,True,True,False,False,False,False,2011,"July. Released 2011, July",120.0,117,61,13,3.5,51.1,320,480,3:2,165,Android 2.3 ,None
Huawei441,Ascend Mate,True,True,False,False,False,False,2013,"January. Released 2013, March",198.0,163.5,85.7,9.9,6.1,73.2,720,1280,16:9,241,Android 4.1 ,4
Huawei441,Ascend Mate2 4G,True,True,True,False,False,False,2014,"January. Released 2014, January",202.0,161,84.7,9.5,6.1,75.2,720,1280,16:9,241,Android 4.3 ,4
Huawei441,Ascend Mate7,True,True,True,False,False,False,2014,"September. Released 2014, October",185.0,157,81,7.9,6.0,77.6,1080,1920,16:9,368,Android 4.4.2 ,8
Huawei441,Ascend Mate7 Monarch,True,True,True,False,False,False,2014,"December. Released 2015, March",185.0,157,81,7.9,6.0,78.0,1080,1920,16:9,367,Android 4.4 ,8
Huawei441,Ascend P1,True,True,False,False,False,False,2012,"January. Released 2012, May",110.0,127.4,64.8,7.7,4.3,61.7,540,960,16:9,256,Android 4.0 ,2
Huawei441,Ascend P1 LTE,True,True,True,False,False,False,2012,"October. Released 2012, October",135.0,132.5,65.4,9.9,4.3,58.8,540,960,16:9,256,Android 4.0 ,2
Huawei441,Ascend P1 XL U9200E,True,True,False,False,False,False,2012,Q3,None,None,None,None,None,None,540,960,16:9,256,Android 4.0.3 ,2
Huawei441,Ascend P1s,True,True,False,False,False,False,2012,"January. Released 2012, September",130.0,127.4,64.8,6.7,4.3,61.7,540,960,16:9,256,Android 4.0 ,2
Huawei441,Ascend P2,True,True,True,False,False,False,2013,"February. Released 2013, April",122.0,136.2,66.7,8.4,4.7,67.0,720,1280,16:9,312,Android 4.1.2 ,4
Huawei441,Ascend P6,True,True,False,False,False,False,2013,"June. Released 2013, June",120.0,132.7,65.5,6.2,4.7,70.1,720,1280,16:9,312,Android 4.2.2 ,4
Huawei441,Ascend P6 S,True,True,False,False,False,False,2014,"January. Released 2014, January",120.0,132.6,65.5,6.5,4.7,70.1,720,1280,16:9,312,Android 4.2.2 ,4
Huawei441,Ascend P7,True,True,True,False,False,False,2014,"May. Released 2014, June",124.0,139.8,68.8,6.5,5.0,71.7,1080,1920,16:9,441,Android 4.4.2 ,4
Huawei441,Ascend P7 Sapphire Edition,True,True,True,False,True,True,2014,"August. Released 2014, September",124.0,139.8,68.8,6.5,5.0,71.7,1080,1920,16:9,441,Android 4.4.2 ,4
Huawei441,Ascend P7 mini,True,True,True,False,True,True,2014,"April. Released 2014, May",115.0,131.2,65.3,7.8,4.5,65.2,540,960,16:9,245,Android 4.3 ,4
Huawei441,Ascend Plus,True,True,False,False,False,False,2014,"April. Released 2014, April",136.1,125,63.5,12.7,None,None,None,None,None,None,Android 4.0 ,None
Huawei441,Ascend Q M5660,True,True,False,False,False,False,2012,"August. Released 2012, August",None,121.9,58.4,12.7,3.2,42.8,320,480,3:2,180,Android 2.3 ,None
Huawei441,Ascend W1,True,True,False,False,False,False,2013,"January. Released 2013, January",130.0,124.5,63.7,10.5,4.0,57.4,480,800,5:3,233,Microsoft Windows Phone 8,2
Huawei441,Ascend W2,True,True,False,False,False,False,2013,"November. Released 2013, December",160.0,134,67,9.9,4.3,58.6,480,800,5:3,217,Microsoft Windows Phone 8,2
Huawei441,Ascend W3,True,True,True,False,True,True,2013,January,None,132,67,10,4.5,63.1,720,1280,16:9,326,Microsoft Windows Phone 8,2
Huawei441,Ascend Y,True,True,False,False,False,False,2012,"October. Released 2012, October",125.0,116.8,61,11.7,3.5,51.2,320,480,3:2,165,Android 2.3 ,None
Huawei441,Ascend Y100,True,True,False,False,False,False,2012,"May. Released 2012, May",100.0,106.5,56,10.9,2.8,40.7,240,320,4:3,143,Android 2.3 ,None
Huawei441,Ascend Y200,True,True,False,False,False,False,2012,"May. Released 2012, May",120.0,116.9,60.4,11.7,3.5,51.7,320,480,3:2,165,Android 2.3 ,None
Huawei441,Ascend Y201 Pro,True,True,False,False,False,False,2012,"August. Released 2012, October",125.0,117,61.5,11.7,3.5,50.7,320,480,3:2,165,Android 4.0 ,None
Huawei441,Ascend Y210D,True,True,False,False,False,False,2013,"March. Released 2013, March",120.0,117,62,12.4,3.5,50.3,320,480,3:2,165,Android 2.3.6 ,None
Huawei441,Ascend Y220,True,True,False,False,False,False,2013,"December. Released 2014, March",130.0,116.5,60.6,12.3,3.5,51.7,320,480,3:2,165,Android 2.3 ,2
Huawei441,Ascend Y221,True,True,False,False,False,False,2014,"December. Released 2014, December",130.0,116.5,60.6,12.3,3.5,51.7,320,480,3:2,165,Android 4.4 ,2
Huawei441,Ascend Y300,True,True,False,False,False,False,2013,"March. Released 2013, March",130.0,124.5,63.8,11.2,4.0,57.3,480,800,5:3,233,Android 4.1 ,2
Huawei441,Ascend Y320,True,True,False,False,False,False,2013,"October. Released 2013, December",123.0,123.3,63.2,11.1,4.0,58.4,480,800,5:3,233,Android 4.2 ,2
Huawei441,Ascend Y330,True,True,False,False,False,False,2014,"March. Released 2014, March",126.0,122.1,63.5,11.3,4.0,53.1,480,800,5:3,245,Android 4.2 ,2
Huawei441,Ascend Y511,True,True,False,False,False,False,2013,"October. Released 2013, November",150.0,132.8,67.4,10.5,4.5,62.3,480,854,16:9,218,Android 4.2 ,2
