Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Infinix125,GT 10 Pro,True,True,True,True,False,False,2023,August 03,187.0,162.7,75.9,8.1,6.67,87.0,1080,2400,20:9,395,Android 13,8
Infinix125,Hot 10,True,True,True,False,False,False,2020,September 17,195.0,171.1,77.6,8.9,6.78,82.2,720,1640,None,264,Android 10,8
Infinix125,Hot 10 Lite,True,True,True,False,False,False,2020,September 29,None,165.5,76.4,8.8,6.6,83.2,720,1600,20:9,266,Android 10 ,4
Infinix125,Hot 10 Play,True,True,True,False,False,False,2021,January 21,207.0,171.8,78,8.9,6.82,82.4,720,1640,None,263,Android 10 ,8
Infinix125,Hot 10T,True,True,True,False,False,False,2021,May 04,None,171.5,77.5,9.2,6.82,83.1,720,1640,None,263,Android 11,8
Infinix125,Hot 10i,True,True,True,False,False,False,2021,May 20,None,164.3,76,9.6,6.52,82.2,720,1600,20:9,269,Android 11,8
Infinix125,Hot 10s,True,True,True,False,False,False,2021,April 21,None,171.5,77.5,9.2,6.82,83.1,720,1640,None,263,Android 11,8
Infinix125,Hot 10s NFC,True,True,True,False,False,False,2021,April 21,None,171.5,77.5,9.2,6.82,83.1,720,1640,None,263,Android 11,8
Infinix125,Hot 11,True,True,True,False,False,False,2021,September 17,201.0,164.7,76.2,8.9,6.6,83.6,1080,2408,20:9,400,Android 11,8
Infinix125,Hot 11 2022,True,True,True,False,False,False,2022,April 15,199.6,166.8,76.6,9.1,6.7,84.8,1080,2400,20:9,393,Android 11,8
Infinix125,Hot 11 Play,True,True,True,False,False,False,2021,November 15,None,171.8,78,8.9,6.82,82.4,720,1640,None,263,Android 11,8
Infinix125,Hot 11s,True,True,True,False,False,False,2021,September 17,205.0,168.9,77,8.8,6.78,83.5,1080,2480,None,399,Android 11,8
Infinix125,Hot 11s NFC,True,True,True,False,False,False,2022,February 18,None,168.9,77,8.8,6.78,83.9,1080,2460,None,396,Android 11,8
Infinix125,Hot 12,True,True,True,False,False,False,2022,April 26,195.0,170.5,77.6,8.3,6.82,84.5,720,1612,20:9,259,Android 12,8
