Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
LG667,450,True,True,False,False,False,False,2014,"Q4. Released 2014, Q4",102.9,98,51.1,18.5,2.2,30.4,64,96,None,None,None,None
LG667,8575 Samba,True,True,False,False,False,False,2009,None,119.9,109.2,55.9,12,3.0,42.0,240,400,5:3,155,None,None
LG667,A100,True,False,False,False,False,False,2011,"May. Released 2011, Q2",58.0,104,43.7,13,1.5,16.0,128,128,1:1,121,None,None
LG667,A120,True,False,False,False,True,False,2010,"December. Released 2010, December",72.5,108,45,12,1.77,20.3,128,160,None,116,None,None
LG667,A130,True,True,False,False,False,False,2010,"August. Released 2010, September",86.0,92.5,47.5,16.9,2.0,28.7,None,None,None,None,None,None
LG667,A140,True,False,False,False,True,False,2011,Q1,80.0,109.5,47,11.6,1.7,17.7,128,160,None,121,None,None
LG667,A155,True,False,False,False,True,True,2010,"December. Released 2010, December",None,110,47.2,13.5,2.0,24.4,144,176,None,114,None,None
LG667,A160,True,False,False,False,True,False,2011,"January. Released 2011, January",81.0,110,47.5,14.1,2.0,24.2,144,176,None,114,None,None
LG667,A165,True,False,False,False,True,False,2011,None,81.0,110,47.5,14.1,2.0,24.1,176,220,None,141,None,None
LG667,A180,True,False,False,False,False,False,2011,"February. Released 2011, Q2",66.3,106.3,44.9,14,1.52,15.6,128,128,1:1,119,None,None
LG667,A190,True,False,False,False,False,False,2011,"August. Released 2011, August",66.5,106.5,45,13.8,1.52,15.6,128,128,1:1,119,None,None
LG667,A200,True,False,False,False,True,True,2011,"April. Released 2011, Q3",95.0,99.8,51,15.8,2.2,29.9,176,220,None,128,None,None
LG667,A230,True,False,False,False,True,True,2011,"July. Released 2011, October",80.0,108.8,46.6,13.9,1.77,19.4,128,160,None,116,None,None
LG667,A250,True,False,False,False,True,True,2011,"July. Released 2011, July",92.0,99.8,51,15.8,2.2,29.9,96,64,None,None,None,None
LG667,A258,True,False,False,False,True,True,2011,None,92.0,97.5,49.1,16.5,2.2,31.8,96,96,None,None,None,None
LG667,A270,True,False,False,False,True,False,2011,None,65.8,107.2,44.9,14.6,1.45,14.1,128,128,1:1,125,None,None
LG667,A290,True,False,False,False,True,False,2012,"February. Released 2012, February",92.0,113.5,51,13,2.2,26.3,176,220,None,128,None,None
