Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Lenovo246,A Plus,True,True,False,False,False,False,2016,"September. Released 2016, September",146.0,133,66,9.9,4.5,63.6,480,854,16:9,218,Android 5.1 ,4
Lenovo246,A10-70 A7600,True,True,False,False,True,True,2014,"April. Released 2014, June",550.0,264.1,176.5,9,10.1,63.5,800,1280,16:10,149,Android 4.2.2 ,4
Lenovo246,A1000,True,True,False,False,False,False,2015,"September 01. Released 2015, September 01",132.0,124.5,64,10.6,4.0,57.2,480,800,5:3,233,Android 5.0 ,4
Lenovo246,A185,True,False,False,False,True,True,2011,December,93.0,118,49.8,15.8,2.4,30.4,240,320,4:3,167,None,None
Lenovo246,A1900,True,True,False,False,False,False,2015,"April. Released 2015, April",117.0,121,62,9.5,4.0,60.7,480,800,5:3,233,Android 4.4.2 ,4
Lenovo246,A2010,True,True,True,False,False,False,2015,"August. Released 2015, September",137.0,131.5,66.5,9.9,4.5,63.8,480,854,16:9,218,Android 5.1 ,4
Lenovo246,A269i,True,True,False,False,False,False,2013,"September. Released 2013, October",112.0,None,None,None,None,None,320,480,3:2,165,Android 2.3 ,2
Lenovo246,A316i,True,True,False,False,False,False,2014,"April. Released 2014, April",121.0,117,63.5,12.2,4.0,61.3,480,800,5:3,233,Android 4.2.2 ,2
Lenovo246,A319,True,True,False,False,False,False,2014,"October. Released 2014, October",130.0,123.5,63.8,10.2,4.0,57.8,480,800,5:3,233,Android 4.4.2 ,2
Lenovo246,A328,True,True,False,False,False,False,2014,"Q3. Released 2014, Q3",None,132,68.5,11,4.5,61.7,480,854,16:9,218,Android 4.4.2 ,4
Lenovo246,A335,True,False,False,False,True,True,2012,January,102.0,118.5,51.3,13.5,2.6,34.4,240,320,4:3,154,None,None
Lenovo246,A336,True,False,False,False,True,True,2011,October,92.0,113.5,49,13.1,2.4,32.1,240,320,4:3,167,None,None
Lenovo246,A3690,True,True,True,False,False,False,2015,"October. Released 2015, October",140.0,141.2,71.2,8.8,5.0,68.6,720,1280,16:9,294,Android 5.1 ,4
Lenovo246,A369i,True,True,False,False,False,False,2013,"Q3. Released 2013, Q3",120.0,124,64,11.7,4.0,57.4,480,800,5:3,233,Android 4.2.2 ,2
Lenovo246,A390,True,True,False,False,False,False,2013,"April. Released 2013, April",131.0,125.6,64,10.1,4.0,56.7,480,800,5:3,233,Android 4.0.4 ,2
Lenovo246,A3900,True,True,True,False,False,False,2015,"May. Released 2015, August",157.0,142.8,71.8,9,5.0,67.2,480,854,16:9,196,Android 4.4.2 ,8
Lenovo246,A5,True,True,True,False,False,False,2018,June,160.0,146.2,70.9,9.8,5.45,73.9,720,1440,18:9,295,Android 8.0 ,4
Lenovo246,A5000,True,True,False,False,False,False,2015,"February. Released 2015, April",160.0,140,71.4,10,5.0,68.9,720,1280,16:9,294,Android 4.4.2 ,4
Lenovo246,A516,True,True,False,False,False,False,2013,"Q3. Released 2013, Q3",146.0,132,66.7,9.9,4.5,63.4,480,854,16:9,218,Android 4.2.2 ,2
Lenovo246,A526,True,True,False,False,False,False,2014,"April. Released 2014, June",145.0,132,67.6,11.1,4.5,62.5,480,854,16:9,218,Android 4.2.2 ,4
Lenovo246,A536,True,True,False,False,False,False,2014,"Q3. Released 2014, Q3",148.0,139.6,72,10,5.0,68.5,480,854,16:9,196,Android 4.4.2 ,4
Lenovo246,A5860,True,True,True,False,False,False,None,None,149.0,152,76.2,8.5,5.5,72.0,720,1280,16:9,267,Android 5.0 ,4
Lenovo246,A6 Note,True,True,True,False,False,False,2019,September,172.0,154.7,72.9,9.2,6.09,80.7,720,1560,5:9,282,Android 9.0 ,8
Lenovo246,A60,True,True,False,False,False,False,2011,None,135.0,116,59.9,12.6,3.5,52.5,320,480,3:2,165,Android 2.3.5 ,None
Lenovo246,A60+,True,True,False,False,False,False,2012,None,135.0,115.8,60.8,11.9,3.5,51.8,320,480,3:2,165,Android 2.3.6 ,None
Lenovo246,A6000,True,True,True,False,False,False,2015,"January 09. Released 2015, January 28",128.0,141,70,8.2,5.0,69.8,720,1280,16:9,294,Android 4.4.4 ,4
Lenovo246,A6000 Plus,True,True,True,False,False,False,2015,"April. Released 2015, April",128.0,141,70,8.2,5.0,69.8,720,1280,16:9,294,Android 4.4.4 ,4
Lenovo246,A6010,True,True,True,False,True,True,2015,"September. Released 2015, October",128.0,141,70,8.2,5.0,69.8,720,1280,16:9,294,Android 5 ,4
Lenovo246,A6010 Plus,True,True,True,False,True,True,2015,"September. Released 2015, October",128.0,141,70,8.2,5.0,69.8,720,1280,16:9,294,Android 5 ,4
Lenovo246,A606,True,True,True,False,False,False,2014,"September. Released 2014, September",170.0,141.5,73.2,9.1,5.0,66.5,480,854,16:9,196,Android 4.4.2 ,4
Lenovo246,A616,True,True,True,False,False,False,2015,None,174.0,149.9,77.1,9.2,5.5,72.1,480,854,16:9,178,Android 4.4 ,4
Lenovo246,A630,True,True,False,False,False,False,2013,"September. Released 2013, September",159.0,131,66,10,4.5,64.5,480,854,16:9,218,Android 4.0.4 ,2
Lenovo246,A65,True,True,False,False,False,False,2012,"July. Released 2012, July",None,116,59.9,12.6,3.5,52.5,320,480,3:2,165,Android 2.3.5 ,None
Lenovo246,A660,True,True,False,False,False,False,2012,"September. Released Exp. release 2012, October",138.0,125,65,10.5,4.0,56.1,480,800,5:3,233,Android 4.0.4 ,2
Lenovo246,A6600,True,True,True,False,False,False,2016,"September. Released 2016, October",142.0,141,71,8.8,5.0,68.8,720,1280,16:9,294,Android 6.0 ,4
Lenovo246,A6600 Plus,True,True,True,False,False,False,2016,"September. Released 2016, October",142.0,141,71,8.8,5.0,68.8,720,1280,16:9,294,Android 6.0 ,4
Lenovo246,A680,True,True,False,False,False,False,2014,"May. Released 2014, May",165.0,145,73.5,10.8,5.0,64.6,480,854,16:9,196,Android 4.2.2 ,4
Lenovo246,A690,True,True,False,False,False,False,2013,"January. Released 2013, January",134.0,124,65,11,4.0,56.5,480,800,5:3,233,Android 2.3.6 ,None
Lenovo246,A7,True,True,True,False,False,False,2019,April 13,None,155,75,12,6.09,78.3,720,1560,5:9,282,Android 9.0 ,8
Lenovo246,A7-30 A3300,True,False,False,False,True,True,2014,"April. Released 2014, May",327.0,198,119.8,10.5,7.0,58.1,600,1024,16:9,170,Android 4.2.2 ,4
Lenovo246,A7-50 A3500,True,True,False,False,True,True,2014,"April. Released 2014, June",320.0,198,121.2,9.9,7.0,59.2,800,1280,16:10,216,Android 4.2.2 ,4
Lenovo246,A7000,True,True,True,False,False,False,2015,"March 02. Released 2015, April 07",140.0,152.6,76.2,8,5.5,71.7,720,1280,16:9,267,Android 5.0.2 ,8
Lenovo246,A7000 Plus,True,True,True,False,False,False,2015,"September. Released 2015, September",140.0,152.6,76.2,8,5.5,71.7,1080,1920,16:9,401,Android 5.0 ,8
Lenovo246,A7000 Turbo,True,True,True,False,False,False,2016,"January. Released 2016, January",150.0,152.6,76.2,8,5.5,71.7,1080,1920,16:9,401,Android 5 ,8
Lenovo246,A706,True,True,False,False,False,False,2013,None,130.0,136,69,10.4,4.5,59.5,480,854,16:9,218,Android 4.1 ,4
Lenovo246,A789,True,True,False,False,False,False,2012,"June. Released 2012, August",154.8,126.6,65.4,13.2,4.0,55.0,480,800,5:3,233,Android 4.0.4 ,2
Lenovo246,A8 2020,True,True,True,False,False,False,2020,October 15,205.0,163.8,75.6,9.3,6.53,87.2,720,1560,5:9,259,Android 10,8
Lenovo246,A8-50 A5500,True,True,False,False,True,True,2014,"April. Released 2014, June",360.0,217,136,8.9,8.0,62.9,800,1280,16:10,189,Android 4.2.2 ,4
Lenovo246,A800,True,True,False,False,False,False,2013,"January. Released 2013, January",155.0,133.5,68.9,11.5,4.5,60.7,480,854,16:9,218,Android 4.0.4 ,2
Lenovo246,A820,True,True,False,False,False,False,2013,None,151.0,135,68.2,9.9,4.5,60.6,540,960,16:9,245,Android 4.1.2 ,4
Lenovo246,A830,True,True,False,False,False,False,2013,None,165.4,147,73,9.4,5.0,64.2,540,960,16:9,220,Android 4.2.1 ,4
Lenovo246,A850,True,True,False,False,False,False,2013,"August. Released 2013, August",184.0,153.5,79.3,9.5,5.5,68.5,540,960,16:9,200,Android 4.2.2 ,4
Lenovo246,A850+,True,True,False,False,False,False,2014,"March. Released 2014, April",161.0,150,77,8.9,5.5,72.2,540,960,16:9,200,Android 4.2.2 ,8
Lenovo246,A859,True,True,False,False,False,False,2014,"January. Released 2014, April",163.3,142,72.5,9.2,5.0,66.9,720,1280,16:9,294,Android 4.2 ,4
Lenovo246,A880,True,True,False,False,False,False,2014,"January. Released 2014, January",196.0,164,85.4,9.3,6.0,70.9,540,960,16:9,184,Android 4.2.2 ,4
Lenovo246,A889,True,True,False,False,False,False,2014,"May. Released 2014, May",192.0,164,85.4,9,6.0,70.9,540,960,16:9,184,Android 4.2.2 ,4
Lenovo246,A916,True,True,True,False,False,False,2014,"November. Released 2014, November",173.0,149.5,76.6,8.7,5.5,72.8,720,1280,16:9,267,Android 4.4.2 ,8
Lenovo246,B,True,True,True,False,False,False,2016,October,144.0,132.5,66,9.9,4.5,65.9,480,800,5:3,207,Android 6.0 ,4
Lenovo246,C2,True,True,True,False,False,False,2016,"July. Released 2016, July",139.0,143,71.4,8.6,5.0,67.5,720,1280,16:9,294,Android 6.0 ,4
Lenovo246,C2 Power,True,True,True,False,False,False,2016,"September. Released 2016, November",155.6,None,None,None,None,None,720,1280,16:9,294,Android 6.0 ,4
Lenovo246,E156,True,False,False,False,True,False,2011,October,70.2,101,44.3,14.4,1.5,16.2,128,128,1:1,121,None,None
Lenovo246,Golden Warrior A8,True,True,True,False,False,False,2014,"July. Released 2014, August",180.0,140.5,70.8,9,5.0,69.3,720,1280,16:9,294,Android 4.4.2 ,8
Lenovo246,Golden Warrior Note 8,True,True,True,False,True,True,2014,"December. Released 2014, December",170.0,169.3,83.6,8.7,6.0,70.1,720,1280,16:9,245,Android 4.4.2 ,8
Lenovo246,Golden Warrior S8,True,True,False,False,True,True,2014,"May. Released 2014, May",146.0,146,76.7,7.9,5.3,69.2,720,1280,16:9,277,Android 4.2.2 ,8
Lenovo246,IdeaPad A1,False,False,False,False,False,False,2011,"November. Released 2011, October",400.0,195,125,12,7.0,56.6,600,1024,16:9,170,Android 2.3 ,None
Lenovo246,IdeaPad K1,False,True,False,False,False,False,2011,"June. Released 2011, July",750.0,264,189,13.3,10.1,59.3,800,1280,16:10,149,Android 3.1 ,2
Lenovo246,IdeaPad S2,True,True,False,False,False,False,2012,"January. Released 2012, September",580.0,None,None,None,None,None,800,1280,16:10,151,Android 4.0 ,2
Lenovo246,IdeaTab A1000,False,False,False,False,False,False,2013,"January. Released 2013, May",340.0,199,121,10.7,7.0,57.3,600,1024,16:9,170,Android 4.1 ,2
Lenovo246,IdeaTab A2107,True,True,False,False,False,False,2013,"January. Released 2013, January",400.0,195.1,125,11.9,7.0,56.5,600,1024,16:9,170,Android 4.0.3 ,None
Lenovo246,IdeaTab A3000,True,True,False,False,True,True,2013,"January. Released 2013, May",339.0,194,120,11,7.0,59.2,600,1024,16:9,170,Android 4.1 ,4
Lenovo246,IdeaTab S6000,False,False,False,False,False,False,2013,"Q1. Released 2013, Q2",562.5,259.1,180.3,7.6,10.1,63.3,1280,800,16:10,149,Android 4.2.2 ,4
Lenovo246,IdeaTab S6000F,False,False,False,False,False,False,2013,"Q1. Released 2013, Q2",560.0,260,180,8.6,10.1,63.2,1280,800,16:10,149,Android 4.2.2 ,4
Lenovo246,IdeaTab S6000H,True,True,False,False,False,False,2013,"Q1. Released 2013, Q2",560.0,260,180,8.6,10.1,63.2,1280,800,16:10,149,Android 4.2.2 ,4
Lenovo246,IdeaTab S6000L,False,False,False,False,False,False,2013,"Q1. Released 2013, Q2",560.0,260,180,8.6,10.1,63.2,1280,800,16:10,149,Android 4.2.2 ,4
