Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Samsung1383,:) Smiley,True,True,False,False,False,False,2010,"June. Released 2010, June",112.8,99.6,59.4,15,None,None,240,320,4:3,None,None,None
Samsung1383,A100,True,False,False,False,False,False,2000,None,87.0,80,42,22.9,None,None,None,None,None,None,None,None
Samsung1383,A110,True,False,False,False,False,False,2000,None,87.0,80,42,22.9,None,None,None,None,None,None,None,None
Samsung1383,A117,True,False,False,False,True,False,2007,July,81.0,86,42.5,19.5,None,None,96,94,None,None,None,None
Samsung1383,A127,True,False,False,False,True,False,2007,October,81.0,86,42.5,19,None,None,96,96,None,None,None,None
Samsung1383,A167,True,False,False,False,True,False,2009,"May. Released 2009, May",87.8,90,46.5,19.8,1.85,25.7,96,96,None,None,None,None
Samsung1383,A177,True,False,False,False,True,True,2009,"May. Released 2009, May",88.0,109,59,12,2.2,23.7,220,176,None,128,None,None
Samsung1383,A200,True,False,False,False,False,False,2001,None,77.0,79,38,23,None,None,64,46,None,None,None,None
Samsung1383,A200K Nori F,True,True,False,False,True,True,2010,None,108.6,106,52,14.6,2.8,40.5,None,None,None,None,None,None
Samsung1383,A220 F Nori,True,True,False,False,True,True,2010,"August. Released 2010, Q4",None,None,None,None,None,None,240,400,5:3,155,None,None
Samsung1383,A237,True,False,False,False,True,True,2008,"September. Released 2008, September",82.0,95,48,16,2.0,27.6,96,96,None,None,None,None
Samsung1383,A257 Magnet,True,False,False,False,True,True,2009,"March. Released 2009, May",87.6,109,59,12,2.2,23.7,220,176,None,128,None,None
Samsung1383,A300,True,False,False,False,False,False,2001,None,77.0,81,42,22,None,None,80,48,None,None,None,None
Samsung1383,A400,True,False,False,False,False,False,2001,Q4,80.0,70,48,20,None,None,None,None,None,None,None,None
Samsung1383,A411,True,True,False,False,False,False,2007,Q2,88.0,94,48.5,19.5,2.0,27.6,96,96,None,None,None,None
Samsung1383,A437,True,False,False,False,True,True,2007,July,81.0,95,48,16,None,None,96,96,None,None,None,None
Samsung1383,A500,True,False,False,False,False,False,2002,None,75.0,80,39,17,None,None,None,None,None,None,None,None
Samsung1383,A517,True,False,False,False,True,True,2007,September,82.0,95,48,16,None,None,96,96,None,None,None,None
Samsung1383,A637,True,True,False,False,False,False,2008,October,92.0,86,43,20,1.9,30.9,None,None,None,None,None,None
Samsung1383,A657,True,True,False,False,False,False,2009,"April. Released 2009, Q2",123.0,115,52,19.5,1.9,19.0,None,None,None,None,None,None
Samsung1383,A667 Evergreen,True,True,False,False,False,False,2010,"November. Released 2010, November",128.0,116,56,15,1.92,17.6,240,320,4:3,208,None,None
Samsung1383,A687 Strive,True,True,False,False,False,False,2010,"March. Released 2010, March",113.1,105.9,58.9,14.6,2.6,33.6,240,320,4:3,154,None,None
Samsung1383,A697 Sunburst,True,False,False,False,True,True,2010,"March. Released 2010, March",87.3,101,52.8,13,3.0,48.0,None,None,None,None,None,None
Samsung1383,A711,True,True,False,False,False,False,2007,September,93.0,98.5,51.5,17.5,2.3,32.3,96,96,None,None,None,None
Samsung1383,A717,True,True,False,False,False,False,2007,June,93.0,104,54,12.7,None,None,96,32,None,None,None,None
Samsung1383,A727,True,True,False,False,False,False,2007,June,80.0,114,50,9,2.0,22.1,None,None,None,None,None,None
