Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Sony158,A8i,True,True,False,False,True,True,2010,"August. Released 2010, Q4",136.0,117,59,14,3.5,48.9,480,854,16:9,280,Android-based OPhone 2.0,None
Sony158,Aino,True,True,False,False,False,False,2009,"May. Released 2009, October",134.0,104,50,15.5,3.0,47.4,None,None,None,None,None,None
Sony158,Aspen,True,True,False,False,False,False,2010,"February. Released 2010, July",130.0,117,60,12.5,2.4,25.4,None,None,None,None,Microsoft Windows Mobile 6.5.3 Professional,None
Sony158,BRAVIA S004,True,True,False,False,True,True,2010,"May. Released 2010, Q3",145.0,111,51,18,3.2,49.8,128,36,None,None,None,None
Sony158,C510,True,True,False,False,False,False,2009,"January. Released 2009, February",92.0,107,47,12.5,2.2,29.8,None,None,None,None,None,None
Sony158,C702,True,True,False,False,False,False,2008,"February. Released 2008, June",105.0,106,48,15.5,2.2,29.5,None,None,None,None,None,None
Sony158,C901,True,True,False,False,False,False,2009,"February. Released 2009, May",107.0,105,45,13,2.2,31.7,240,320,4:3,182,None,None
Sony158,C901 GreenHeart,True,True,False,False,False,False,2009,"May. Released 2009, July",107.0,105,45,13,2.2,31.7,240,320,4:3,182,None,None
Sony158,C902,True,True,False,False,False,False,2008,"February. Released 2008, June",107.0,108,49,10.5,2.0,23.4,240,320,4:3,200,None,None
Sony158,C903,True,True,False,False,False,False,2009,"February. Released 2009, July",96.0,97,49,16,2.4,37.5,240,320,4:3,167,None,None
Sony158,C905,True,True,False,False,False,False,2008,"June. Released 2008, October",136.0,None,None,None,2.4,35.0,240,320,4:3,167,None,None
Sony158,CM-DX 1000,True,False,False,False,False,False,1997,None,235.0,150,45,32,None,None,None,None,None,None,None,None
Sony158,CM-DX 2000,True,False,False,False,False,False,1997,None,185.0,147,46,27,None,None,None,None,None,None,None,None
Sony158,CMD C1,True,False,False,False,False,False,1999,None,107.0,139,45,26,None,None,None,None,None,None,None,None
Sony158,CMD CD5,True,False,False,False,False,False,2000,None,139.0,139,45,26,None,None,None,None,None,None,None,None
Sony158,CMD J5,True,False,False,False,False,False,2000,None,85.0,123,45,20,None,None,None,None,None,None,None,None
Sony158,CMD J6,True,False,False,False,False,False,2001,None,82.0,123,43,20,None,None,None,None,None,None,None,None
Sony158,CMD J7,True,False,False,False,False,False,2001,Q4,92.0,113,44,21,None,None,None,None,None,None,None,None
Sony158,CMD J70,True,False,False,False,False,False,2001,Q4,92.0,113,44,21,None,None,None,None,None,None,None,None
Sony158,CMD MZ5,True,False,False,False,False,False,2001,None,110.0,90,49,30,None,None,None,None,None,None,None,None
Sony158,CMD Z1,True,False,False,False,False,False,1997,None,220.0,99,64,24,None,None,None,None,None,None,None,None
Sony158,CMD Z1 plus,True,False,False,False,False,False,1997,None,195.0,98,60,26,None,None,None,None,None,None,None,None
Sony158,CMD Z5,True,False,False,False,False,False,2000,None,82.0,88,49,21,None,None,None,None,None,None,None,None
Sony158,CMD Z7,True,False,False,False,False,False,2001,Q4,95.0,91,50,25,None,None,None,None,None,None,None,None
Sony158,Cedar,True,True,False,False,False,False,2010,"June. Released 2010, September",84.0,111,49,15.5,2.2,27.6,240,320,4:3,182,None,None
Sony158,D 2403,True,True,False,False,False,False,2014,"Q3. Released Exp. release 2014, Q3",None,None,None,None,4.4,62.3,540,960,16:9,250,Android 4.4.2 ,4
Sony158,D750,True,False,False,False,True,False,2005,Q1,99.0,100,46,20.5,None,None,None,None,None,None,None,None
Sony158,Elm,True,True,False,False,False,False,2009,"December. Released 2010, March",90.0,110,45,14,2.2,30.3,240,320,4:3,182,None,None
Sony158,F305,True,False,False,False,True,True,2008,"June. Released 2008, November",97.5,96,47,14.6,2.0,27.9,176,220,None,141,None,None
Sony158,F500i,True,False,False,False,True,False,2004,Q2,80.0,102,46,14,None,None,None,None,None,None,None,None
Sony158,G502,True,True,False,False,False,False,2008,"April. Released 2008, June",83.5,103,46,13.5,2.0,26.1,None,None,None,None,None,None
Sony158,G700,True,True,False,False,False,False,2008,"February. Released 2008, May",99.0,106,49,13,2.4,34.3,None,None,None,None,Symbian,None
