Brand,Phone,2G,3G,4G,5G,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Xiaomi377,11 Lite 5G NE,True,True,True,True,False,False,2021,September 15,158.0,160.5,75.7,6.8,6.55,85.3,1080,2400,20:9,402,Android 11,8
Xiaomi377,11T,True,True,True,True,False,False,2021,September 15,203.0,164.1,76.9,8.8,6.67,85.1,1080,2400,20:9,395,Android 11,8
Xiaomi377,11T Pro,True,True,True,True,False,False,2021,September 15,204.0,164.1,76.9,8.8,6.67,85.1,1080,2400,20:9,395,Android 11,8
Xiaomi377,11i,True,True,True,True,False,False,2022,January 06,207.0,163.7,76.2,8.3,6.67,86.1,1080,2400,20:9,395,Android 11,8
Xiaomi377,11i HyperCharge 5G,True,True,True,True,False,False,2022,January 06,204.0,163.7,76.2,8.3,6.67,86.1,1080,2400,20:9,395,Android 11,8
Xiaomi377,12,True,True,True,True,False,False,2021,December 28,179.0,152.7,69.9,8.2,6.28,89.2,1080,2400,20:9,419,Android 12,8
Xiaomi377,12 Lite,True,True,True,True,False,False,2022,July 09,173.0,159.3,73.7,7.3,6.55,88.2,1080,2400,20:9,402,Android 12,8
Xiaomi377,12 Lite NE,True,True,True,True,False,False,None,None,171.8,159.2,72.7,7.2,6.55,89.5,1080,2400,20:9,402,Android 12,8
Xiaomi377,12 Pro,True,True,True,True,False,False,2021,December 28,204.0,163.6,74.6,8.2,6.73,89.6,1440,3200,20:9,521,Android 12,8
Xiaomi377,12 Pro (Dimensity),True,True,True,True,False,False,2022,July 04,201.0,163.6,74.6,8.2,6.73,89.6,1440,3200,20:9,521,Android 12,8
Xiaomi377,12S,True,True,True,True,False,False,2022,July 04,179.0,152.7,69.9,8.2,6.28,89.2,1080,2400,20:9,419,Android 12,8
Xiaomi377,12S Pro,True,True,True,True,False,False,2022,July 04,203.0,163.6,74.6,8.2,6.73,89.6,1440,3200,20:9,521,Android 12,8
Xiaomi377,12S Ultra,True,True,True,True,False,False,2022,July 04,225.0,163.2,75,9.1,6.73,89.0,1440,3200,20:9,522,Android 12,8
Xiaomi377,12T,True,True,True,True,False,False,2022,October 04,202.0,163.1,75.9,8.6,6.67,86.7,1220,2712,20:9,446,Android 12,8
Xiaomi377,12T Pro,True,True,True,True,False,False,2022,October 04,205.0,163.1,75.9,8.6,6.67,86.7,1220,2712,20:9,446,Android 12,8
Xiaomi377,12X,True,True,True,True,False,False,2021,December 28,176.0,152.7,69.9,8.2,6.28,89.2,1080,2400,20:9,419,Android 11,8
Xiaomi377,13,True,True,True,True,False,False,2022,December 11,185.0,152.8,71.5,8.0,6.36,89.4,1080,2400,20:9,414,Android 13,8
Xiaomi377,13 Lite,True,True,True,True,False,False,2023,February 26,171.0,159.2,72.7,7.2,6.55,89.5,1080,2400,20:9,402,Android 12,8
Xiaomi377,13 Pro,True,True,True,True,False,False,2022,December 11,210.0,162.9,74.6,8.4,6.73,89.6,1440,3200,20:9,522,Android 13,8
Xiaomi377,13 Ultra,True,True,True,True,False,False,2023,April 18,227.0,163.2,74.6,9.1,6.73,89.5,1440,3200,20:9,522,Android 13,8
Xiaomi377,13T,True,True,True,True,False,False,2023,September 26,193.0,162.2,75.7,8.5,6.67,87.5,1220,2712,20:9,446,Android 13,8
Xiaomi377,13T Pro,True,True,True,True,False,False,2023,September 26,200.0,162.2,75.7,8.5,6.67,87.5,1220,2712,20:9,446,Android 13,8
Xiaomi377,14,True,True,True,True,False,False,2023,October 26,188.0,152.8,71.5,8.2,6.36,89.3,1200,2670,20:9,460,Android 14,8
Xiaomi377,14 Pro,True,True,True,True,False,False,2023,October 26,223.0,161.4,75.3,8.5,6.73,89.6,1440,3200,20:9,522,Android 14,8
Xiaomi377,Black Shark,True,True,True,False,False,False,2018,April,190.0,161.6,75.4,9.3,5.99,76.0,1080,2160,18:9,403,Android 8.0 ,8
Xiaomi377,Black Shark 2,True,True,True,False,False,False,2019,March,205.0,163.6,75,8.8,6.39,81.7,1080,2340,5:9,403,Android 9.0 ,8
Xiaomi377,Black Shark 2 Pro,True,True,True,False,False,False,2019,July,205.0,163.6,75,8.8,6.39,81.7,1080,2340,5:9,403,Android 9.0 ,8
Xiaomi377,Black Shark 3,True,True,True,True,False,False,2020,March 03,222.0,168.7,77.3,10.4,6.67,82.4,1080,2400,20:9,395,Android 10,8
Xiaomi377,Black Shark 3 Pro,True,True,True,True,False,False,2020,March 03,253.0,177.8,83.3,10.1,7.1,83.6,1440,3120,5:9,484,Android 10,8
Xiaomi377,Black Shark 3S,True,True,True,True,False,False,2020,July 31,222.0,168.7,77.3,10.4,6.67,82.4,1080,2400,20:9,395,Android 10,8
Xiaomi377,Black Shark 4,True,True,True,True,False,False,2021,March 23,210.0,163.8,76.4,9.9,6.67,85.8,1080,2400,20:9,395,Android 11,8
Xiaomi377,Black Shark 4 Pro,True,True,True,True,False,False,2021,March 23,220.0,163.8,76.4,9.9,6.67,85.8,1080,2400,20:9,395,Android 11,8
Xiaomi377,Black Shark 4S,True,True,True,True,False,False,2021,October 13,210.0,163.7,76.2,9.9,6.67,86.1,1080,2400,20:9,395,Android 11,8
Xiaomi377,Black Shark 4S Pro,True,True,True,True,False,False,2021,October 13,220.0,163.7,76.2,9.9,6.67,86.1,1080,2400,20:9,395,Android 11,8
Xiaomi377,Black Shark 5,True,True,True,True,False,False,2022,March 30,218.0,163.8,76.3,10,6.67,85.9,1080,2400,20:9,395,Android 12,8
Xiaomi377,Black Shark 5 Pro,True,True,True,True,False,False,2022,March 30,220.0,163.9,76.5,9.5,6.67,85.7,1080,2400,20:9,395,Android 12,8
Xiaomi377,Black Shark 5 RS,True,True,True,True,False,False,2022,March 30,220.0,163.7,76.2,9.9,6.67,86.1,1080,2400,20:9,395,Android 12,8
Xiaomi377,Black Shark Helo,True,True,True,False,False,False,2018,October,190.0,160,75.2,8.7,6.01,77.5,1080,2160,18:9,402,Android 8.0 ,8
Xiaomi377,Civi,True,True,True,True,False,False,2021,September 27,166.0,158.3,71.5,7,6.55,91.5,1080,2400,20:9,402,Android 11,8
Xiaomi377,Civi 1S,True,True,True,True,False,False,2022,April 21,166.0,158.3,71.5,7,6.55,91.5,1080,2400,20:9,402,Android 12,8
